Pathway,Gene
IFNG,PARP12
IFNG,OASL
IFNG,IFIT1
IFNG,IFIT2
IFNG,OAS3
IFNG,MX1
IFNG,PARP14
IFNG,XAF1
IFNG,CMPK2
IFNG,OAS2
IFNG,HERC6
IFNG,SAMD9L
IFNG,RTP4
IFNG,RSAD2
IFNG,IFI35
IFNG,IFIT3
IFNG,IFI44
IFNG,SERPING1
IFNG,RBCK1
IFNG,DDX60
IFNG,PLSCR1
IFNG,STAT4
IFNG,OGFR
IFNA,PARP12
IFNA,OASL
IFNA,IFIT2
IFNA,MX1
IFNA,PARP14
IFNA,CMPK2
IFNA,SAMD9
IFNA,HERC6
IFNA,SAMD9L
IFNA,RTP4
IFNA,RSAD2
IFNA,IFI35
IFNA,IFIT3
IFNA,IFI44
IFNA,DDX60
IFNA,PARP9
MYC,APEX1
MYC,CCT2
MYC,CCT3
MYC,CCT4
MYC,CCT5
MYC,CDK2
MYC,CDK4
MYC,COPS5
MYC,COX5A
MYC,CSTF2
MYC,DDX18
MYC,EEF1B2
MYC,EIF3D
MYC,EIF4E
MYC,FBL
MYC,G3BP1
MYC,GOT2
MYC,GSPT1
MYC,HNRNPA3
MYC,HSP90AB1
MYC,HSPD1
MYC,HSPE1
MYC,IFRD1
MYC,ILF2
MYC,KPNA2
MYC,MCM6
MYC,NAP1L1
MYC,NDUFAB1
MYC,NME1
MYC,PA2G4
MYC,PABPC1
MYC,PPM1G
MYC,PRDX4
MYC,PSMA4
MYC,PSMA6
MYC,PSMB3
MYC,PSMC6
MYC,PSMD14
MYC,PSMD8
MYC,PTGES3
MYC,RPL14
MYC,RPL18
MYC,RPL34
MYC,RPLP0
MYC,RPS10
MYC,RPS2
MYC,RPS3
MYC,RPS5
MYC,RRM1
MYC,RSL1D1
MYC,RUVBL2
MYC,SLC25A3
MYC,SMARCC1
MYC,SNRPA
MYC,SNRPD2
MYC,SRSF3
MYC,SSB
MYC,TXNL4A
MYC,UBE2E1
MYC,UBE2L3
MYC,VDAC1
MYC,XPOT
MYC,YWHAQ
MHCII,CAPZA2
MHCII,CTSH
MHCII,CTSL
MHCII,DCTN6
MHCII,DYNC1I2
MHCII,DYNC1LI1
MHCII,DYNLL1
MHCII,DYNLL2
MHCII,HLA-DRA
MHCII,IFI30
MHCII,KIF26A
MHCII,KIF3C
MHCII,KIFAP3
MHCII,KLC2
MHCII,OSBPL1A
MHCII,RAB7A
MHCII,SEC13
MHCII,SEC23A
MHCII,SEC31A
MHCII,SPTBN2
MHCII,TUBA1A
MHCII,TUBA1B
MHCII,TUBB3
MHCII,TUBB4A
MHCII,TUBB6
